age_group_id,province_code,year,month,total_approval
1,NL,2017,January,10
2,NL,2017,January,10
3,NL,2017,January,20
4,NL,2017,January,5
1,PE,2017,January,30
2,PE,2017,January,45
3,PE,2017,January,55
4,PE,2017,January,25
1,NS,2017,January,80
2,NS,2017,January,100
3,NS,2017,January,135
4,NS,2017,January,20
1,NB,2017,January,50
2,NB,2017,January,45
3,NB,2017,January,90
4,NB,2017,January,25
1,QC,2017,January,660
2,QC,2017,January,985
3,QC,2017,January,1250
4,QC,2017,January,295
5,QC,2017,January,90
6,QC,2017,January,15
1,ON,2017,January,965
2,ON,2017,January,2460
3,ON,2017,January,2680
4,ON,2017,January,700
5,ON,2017,January,430
6,ON,2017,January,90
1,MB,2017,January,205
2,MB,2017,January,390
3,MB,2017,January,395
4,MB,2017,January,90
5,MB,2017,January,15
1,SK,2017,January,250
2,SK,2017,January,360
3,SK,2017,January,560
4,SK,2017,January,110
5,SK,2017,January,15
1,AB,2017,January,630
2,AB,2017,January,1330
3,AB,2017,January,1900
4,AB,2017,January,420
5,AB,2017,January,130
6,AB,2017,January,20
1,BC,2017,January,360
2,BC,2017,January,1180
3,BC,2017,January,1505
4,BC,2017,January,405
5,BC,2017,January,140
6,BC,2017,January,35
2,YT,2017,January,5
3,YT,2017,January,15
2,NT,2017,January,15
3,NT,2017,January,20
4,NT,2017,January,5
1,NL,2017,February,10
2,NL,2017,February,30
3,NL,2017,February,40
4,NL,2017,February,15
1,PE,2017,February,35
2,PE,2017,February,45
3,PE,2017,February,65
4,PE,2017,February,25
1,NS,2017,February,75
2,NS,2017,February,120
3,NS,2017,February,145
4,NS,2017,February,15
5,NS,2017,February,5
1,NB,2017,February,65
2,NB,2017,February,50
3,NB,2017,February,90
4,NB,2017,February,25
5,NB,2017,February,10
1,QC,2017,February,725
2,QC,2017,February,1170
3,QC,2017,February,1410
4,QC,2017,February,345
5,QC,2017,February,155
6,QC,2017,February,25
1,ON,2017,February,1210
2,ON,2017,February,2705
3,ON,2017,February,2795
4,ON,2017,February,740
5,ON,2017,February,625
6,ON,2017,February,130
1,MB,2017,February,290
2,MB,2017,February,380
3,MB,2017,February,370
4,MB,2017,February,90
5,MB,2017,February,30
6,MB,2017,February,5
1,SK,2017,February,220
2,SK,2017,February,270
3,SK,2017,February,425
4,SK,2017,February,105
5,SK,2017,February,20
6,SK,2017,February,5
1,AB,2017,February,665
2,AB,2017,February,1355
3,AB,2017,February,1595
4,AB,2017,February,380
5,AB,2017,February,205
6,AB,2017,February,20
1,BC,2017,February,410
2,BC,2017,February,1165
3,BC,2017,February,1325
4,BC,2017,February,315
5,BC,2017,February,185
6,BC,2017,February,40
2,YT,2017,February,10
3,YT,2017,February,10
3,NT,2017,February,10
1,NL,2017,March,25
2,NL,2017,March,25
3,NL,2017,March,50
4,NL,2017,March,10
1,PE,2017,March,80
2,PE,2017,March,65
3,PE,2017,March,95
4,PE,2017,March,50
1,NS,2017,March,95
2,NS,2017,March,120
3,NS,2017,March,160
4,NS,2017,March,35
5,NS,2017,March,15
1,NB,2017,March,85
2,NB,2017,March,55
3,NB,2017,March,110
4,NB,2017,March,25
1,QC,2017,March,1220
2,QC,2017,March,1575
3,QC,2017,March,2110
4,QC,2017,March,575
5,QC,2017,March,235
6,QC,2017,March,35
1,ON,2017,March,1560
2,ON,2017,March,3110
3,ON,2017,March,3150
4,ON,2017,March,910
5,ON,2017,March,845
6,ON,2017,March,190
1,MB,2017,March,410
2,MB,2017,March,480
3,MB,2017,March,595
4,MB,2017,March,95
5,MB,2017,March,30
6,MB,2017,March,10
1,SK,2017,March,325
2,SK,2017,March,395
3,SK,2017,March,600
4,SK,2017,March,135
5,SK,2017,March,30
1,AB,2017,March,810
2,AB,2017,March,1490
3,AB,2017,March,1695
4,AB,2017,March,410
5,AB,2017,March,285
6,AB,2017,March,45
1,BC,2017,March,425
2,BC,2017,March,1255
3,BC,2017,March,1290
4,BC,2017,March,305
5,BC,2017,March,265
6,BC,2017,March,50
2,YT,2017,March,15
3,YT,2017,March,5
