immi_code,immi_type
AFP,Agri-Food Pilot
AIPP,Atlantic Immigration Pilot Programs
BVOR,Blended Visa Office-Referred Program
CEC,Canadian Experience Class
CP,Caregiver Program
FS,Family Sponsorship
FST,Federal Skilled Trades
FSW,Federal Skilled Worker
GAR,Government-Assisted Refugees Program
PSR,Private Sponsorship of Refugees Program
PTRC,Protected Temporary Residents Class
PNP,Provincial Nominee Program
RNIP,Rural and Northern Immigration Pilot
SUV,Start-Up Visa Program
TRPR,Temporary Resident to Permanent Resident Pathway
