age_group_id,province_code,year,month,total_approval
1,NL,2015,1,10
1,NL,2016,1,45
1,NL,2017,1,10
1,NL,2018,1,15
1,NL,2019,1,10
1,NL,2020,1,20
1,NL,2021,1,5
1,NL,2022,1,30
1,PE,2015,1,15
1,NS,2015,1,30
1,NB,2015,1,25
1,QC,2015,1,370
1,ON,2015,1,740
1,MB,2015,1,170
1,SK,2015,1,145
1,AB,2015,1,350
1,BC,2015,1,230
1,PE,2016,1,45
1,NS,2016,1,305
1,NB,2016,1,330
1,QC,2016,1,1045
1,ON,2016,1,3040
1,MB,2016,1,350
1,SK,2016,1,435
1,AB,2016,1,1305
1,BC,2016,1,895
1,YT,2016,1,10
1,PE,2017,1,30
1,NS,2017,1,80
1,NB,2017,1,50
1,QC,2017,1,660
1,ON,2017,1,965
1,MB,2017,1,205
1,SK,2017,1,250
1,AB,2017,1,630
1,BC,2017,1,360
1,PE,2018,1,20
1,NS,2018,1,60
1,NB,2018,1,70
1,QC,2018,1,555
1,ON,2018,1,1490
1,MB,2018,1,210
1,SK,2018,1,175
1,AB,2018,1,425
1,BC,2018,1,385
1,NT,2018,1,5
1,PE,2019,1,35
1,NS,2019,1,95
1,NB,2019,1,60
1,QC,2019,1,520
1,ON,2019,1,1195
1,MB,2019,1,200
1,SK,2019,1,180
1,AB,2019,1,425
1,BC,2019,1,325
1,PE,2020,1,45
1,NS,2020,1,90
1,NB,2020,1,110
1,QC,2020,1,625
1,ON,2020,1,1570
1,MB,2020,1,190
1,SK,2020,1,255
1,AB,2020,1,525
1,BC,2020,1,530
1,PE,2021,1,10
1,NS,2021,1,75
1,NB,2021,1,75
1,QC,2021,1,475
1,ON,2021,1,1585
1,MB,2021,1,220
1,SK,2021,1,225
1,AB,2021,1,420
1,BC,2021,1,360
1,PE,2022,1,25
1,NS,2022,1,150
1,NB,2022,1,110
1,QC,2022,1,560
1,ON,2022,1,2145
1,MB,2022,1,260
1,SK,2022,1,235
1,AB,2022,1,550
1,BC,2022,1,825
1,NL,2015,2,10
1,NL,2016,2,60
1,NL,2017,2,10
1,NL,2018,2,20
1,NL,2019,2,20
1,NL,2020,2,35
1,NL,2021,2,35
1,NL,2022,2,35
1,PE,2015,2,20
1,NS,2015,2,40
1,NB,2015,2,60
1,QC,2015,2,515
1,ON,2015,2,930
1,MB,2015,2,230
1,SK,2015,2,145
1,AB,2015,2,490
1,BC,2015,2,285
1,PE,2016,2,85
1,NS,2016,2,260
1,NB,2016,2,485
1,QC,2016,2,1295
1,ON,2016,2,3190
1,MB,2016,2,460
1,SK,2016,2,450
1,AB,2016,2,1515
1,BC,2016,2,930
1,PE,2017,2,35
1,NS,2017,2,75
1,NB,2017,2,65
1,QC,2017,2,725
1,ON,2017,2,1210
1,MB,2017,2,290
1,SK,2017,2,220
1,AB,2017,2,665
1,BC,2017,2,410
1,PE,2018,2,35
1,NS,2018,2,85
1,NB,2018,2,105
1,QC,2018,2,700
1,ON,2018,2,1575
1,MB,2018,2,215
1,SK,2018,2,335
1,AB,2018,2,480
1,BC,2018,2,445
1,PE,2019,2,45
1,NS,2019,2,95
1,NB,2019,2,85
1,QC,2019,2,500
1,ON,2019,2,1470
1,MB,2019,2,210
1,SK,2019,2,190
1,AB,2019,2,410
1,BC,2019,2,335
1,NT,2019,2,5
1,PE,2020,2,40
1,NS,2020,2,100
1,NB,2020,2,105
1,QC,2020,2,675
1,ON,2020,2,1785
1,MB,2020,2,230
