noc_code,province_code,year,month,total_approval
0012,QC,2016,3,5
0012,QC,2017,3,5
0012,QC,2019,6,5
0012,QC,2017,7,5
0012,QC,2018,11,5
0012,QC,2018,3,10
0012,QC,2018,9,10
0013,BC,2016,1,5
0013,BC,2017,1,5
0013,BC,2022,1,5
0013,ON,2021,1,5
0013,QC,2018,1,5
0013,QC,2021,1,5
0013,BC,2019,2,5
0013,BC,2021,2,5
0013,BC,2022,2,5
0013,ON,2015,2,5
0013,QC,2017,2,5
0013,QC,2019,2,5
0013,AB,2022,3,5
0013,BC,2017,3,5
0013,BC,2019,3,5
0013,BC,2022,3,5
0013,QC,2016,3,5
0013,QC,2017,3,5
0013,AB,2016,4,5
0013,BC,2018,4,5
0013,BC,2019,4,5
0013,BC,2021,4,5
0013,BC,2022,4,5
0013,QC,2018,4,5
0013,QC,2019,4,5
0013,QC,2022,4,5
0013,AB,2018,5,5
0013,BC,2016,5,5
0013,BC,2017,5,5
0013,BC,2018,5,5
0013,BC,2020,5,5
0013,BC,2021,5,5
0013,BC,2022,5,5
0013,QC,2018,5,5
0013,AB,2015,6,5
0013,AB,2016,6,5
0013,BC,2015,6,5
0013,BC,2016,6,5
0013,BC,2017,6,5
0013,BC,2019,6,5
0013,BC,2020,6,5
0013,QC,2016,6,5
0013,QC,2021,6,5
0013,BC,2017,7,5
0013,BC,2019,7,5
0013,BC,2021,7,5
0013,BC,2022,7,5
0013,QC,2020,7,5
0013,QC,2022,7,5
0013,BC,2016,8,5
0013,BC,2017,8,5
0013,BC,2018,8,5
0013,QC,2015,8,5
0013,QC,2017,8,5
0013,QC,2018,8,5
0013,BC,2015,9,5
0013,BC,2021,9,5
0013,QC,2016,9,5
0013,QC,2017,9,5
0013,QC,2020,9,5
0013,QC,2021,9,5
0013,AB,2015,10,5
0013,BC,2015,10,5
0013,BC,2018,10,5
0013,BC,2019,10,5
0013,BC,2020,10,5
0013,ON,2020,10,5
0013,QC,2017,10,5
0013,BC,2015,11,5
0013,BC,2020,11,5
0013,QC,2017,11,5
0013,QC,2018,11,5
0013,QC,2021,11,5
0013,BC,2015,12,5
0013,BC,2017,12,5
0013,BC,2021,12,5
0013,BC,2018,1,10
0013,BC,2020,1,10
0013,ON,2015,1,10
0013,ON,2019,1,10
0013,BC,2016,2,10
0013,BC,2020,2,10
0013,QC,2018,2,10
0013,QC,2020,2,10
0013,BC,2016,3,10
0013,BC,2021,3,10
0013,QC,2019,3,10
0013,BC,2016,4,10
0013,ON,2015,4,10
0013,ON,2017,4,10
0013,ON,2020,4,10
0013,QC,2017,4,10
0013,BC,2019,5,10
0013,ON,2017,5,10
0013,ON,2019,5,10
0013,ON,2020,5,10
0013,ON,2022,5,10
0013,QC,2017,5,10
0013,QC,2022,5,10
0013,BC,2021,6,10
0013,ON,2017,6,10
0013,QC,2017,6,10
0013,QC,2018,6,10
0013,QC,2019,6,10
0013,QC,2022,6,10
0013,AB,2015,7,10
0013,QC,2019,7,10
0013,QC,2021,7,10
0013,BC,2015,8,10
0013,BC,2019,8,10
0013,BC,2021,8,10
0013,ON,2020,8,10
0013,QC,2019,8,10
0013,QC,2020,8,10
0013,ON,2016,9,10
0013,QC,2018,9,10
0013,ON,2016,10,10
0013,ON,2019,10,10
0013,QC,2016,10,10
0013,QC,2019,10,10
0013,QC,2020,10,10
0013,BC,2019,11,10
0013,ON,2016,11,10
0013,ON,2019,11,10
0013,ON,2020,11,10
0013,QC,2019,11,10
0013,ON,2015,12,10
0013,QC,2019,12,10
0013,ON,2017,1,15
0013,ON,2017,2,15
0013,ON,2019,2,15
0013,ON,2021,2,15
0013,BC,2018,3,15
0013,ON,2015,3,15
0013,ON,2017,3,15
0013,ON,2020,3,15
0013,ON,2021,3,15
0013,ON,2022,3,15
0013,QC,2018,3,15
0013,ON,2015,5,15
0013,ON,2015,6,15
0013,ON,2018,6,15
0013,ON,2017,7,15
0013,ON,2022,7,15
0013,QC,2017,7,15
0013,QC,2018,7,15
0013,ON,2017,9,15
0013,QC,2019,9,15
0013,ON,2018,10,15
0013,ON,2015,11,15
0013,ON,2018,11,15
0013,ON,2016,12,15
0013,ON,2019,12,15
0013,QC,2017,12,15
0013,ON,2016,1,20
0013,ON,2020,1,20
0013,ON,2022,1,20
0013,ON,2016,2,20
0013,ON,2018,2,20
0013,ON,2022,2,20
0013,ON,2022,4,20
0013,ON,2021,5,20
0013,ON,2022,6,20
0013,ON,2015,7,20
0013,ON,2018,7,20
0013,ON,2019,7,20
0013,ON,2020,7,20
0013,ON,2016,8,20
0013,ON,2017,8,20
0013,ON,2018,8,20
0013,ON,2018,9,20
0013,ON,2019,9,20
0013,ON,2017,10,20
0013,ON,2021,10,20
0013,ON,2021,11,20
0013,ON,2018,12,20
0013,ON,2020,2,25
0013,ON,2016,3,25
0013,ON,2019,3,25
0013,ON,2016,4,25
0013,ON,2019,4,25
0013,ON,2021,4,25
0013,ON,2016,5,25
0013,ON,2018,5,25
0013,ON,2019,6,25
0013,ON,2021,6,25
0013,ON,2015,9,25
0013,ON,2015,10,25
0013,ON,2017,11,25
0013,ON,2017,12,25
0013,ON,2021,12,25
0013,ON,2018,1,30
0013,ON,2018,4,30
0013,ON,2016,6,30
0013,ON,2016,7,30
0013,ON,2021,7,30
0013,ON,2015,8,30
0013,ON,2019,8,30
0013,ON,2021,8,30
0013,ON,2021,9,30
0013,ON,2018,3,35
0013,ON,2020,6,40
0014,ON,2020,2,5
0014,ON,2019,3,5
0014,ON,2018,4,5
0014,BC,2020,6,5
0014,ON,2021,6,5
0014,ON,2022,6,5
0014,ON,2019,9,5
0014,ON,2021,9,5
0014,BC,2021,10,5
0014,ON,2019,10,5
0014,ON,2017,11,5
0014,ON,2021,11,5
0014,ON,2018,12,5
0014,ON,2021,12,5
0015,ON,2017,1,5
0015,ON,2018,1,5
0015,ON,2021,1,5
0015,BC,2020,2,5
0015,ON,2021,2,5
0015,ON,2022,2,5
0015,BC,2016,3,5
0015,BC,2021,3,5
0015,BC,2022,3,5
0015,ON,2016,3,5
0015,ON,2017,3,5
0015,ON,2021,3,5
0015,ON,2022,3,5
0015,BC,2016,4,5
0015,BC,2017,4,5
0015,BC,2018,4,5
0015,ON,2015,4,5
0015,ON,2017,4,5
0015,ON,2021,4,5
0015,BC,2016,5,5
0015,ON,2018,5,5
0015,ON,2019,5,5
0015,BC,2016,6,5
0015,BC,2021,6,5
0015,ON,2016,6,5
0015,ON,2017,6,5
0015,ON,2019,6,5
0015,ON,2022,6,5
0015,AB,2022,7,5
0015,ON,2021,7,5
0015,BC,2019,8,5
0015,BC,2021,8,5
0015,ON,2015,8,5
0015,ON,2016,8,5
0015,ON,2021,8,5
0015,QC,2017,8,5
0015,BC,2015,9,5
0015,BC,2016,9,5
0015,ON,2017,9,5
0015,AB,2015,10,5
0015,BC,2019,10,5
0015,ON,2017,10,5
0015,ON,2018,10,5
0015,ON,2019,10,5
0015,ON,2021,10,5
0015,BC,2019,11,5
0015,BC,2021,11,5
0015,BC,2015,12,5
0015,ON,2019,12,5
0015,ON,2021,12,5
0015,BC,2020,1,10
0015,ON,2016,1,10
0015,ON,2020,1,10
0015,ON,2022,1,10
0015,ON,2016,2,10
0015,ON,2018,2,10
0015,ON,2020,2,10
0015,ON,2019,3,10
0015,ON,2019,4,10
0015,ON,2022,5,10
0015,ON,2016,7,10
0015,ON,2019,7,10
0015,ON,2022,7,10
0015,ON,2017,8,10
0015,ON,2019,8,10
0015,ON,2015,9,10
0015,BC,2021,10,10
0015,ON,2015,10,10
0015,ON,2015,11,10
0015,ON,2021,11,10
0015,ON,2015,12,10
0015,ON,2016,5,15
0015,ON,2021,6,15
0015,ON,2015,7,15
0015,ON,2019,9,15
0015,ON,2016,4,20
0016,AB,2017,1,5
0016,BC,2017,1,5
0016,BC,2018,1,5
0016,BC,2020,1,5
0016,ON,2015,1,5
0016,QC,2017,1,5
0016,BC,2015,2,5
0016,BC,2018,2,5
0016,ON,2019,2,5
0016,ON,2021,2,5
0016,ON,2022,2,5
