noc_code,province_code,year,month,total_approval
0013,ON,2017,April,10
0013,QC,2017,April,10
0015,BC,2017,April,5
0015,ON,2017,April,5
0016,BC,2017,April,5
0111,AB,2017,April,5
0111,ON,2017,April,20
0111,QC,2017,April,15
0112,ON,2017,April,10
0113,ON,2017,April,10
0114,QC,2017,April,20
0122,ON,2017,April,10
0122,QC,2017,April,110
0124,ON,2017,April,10
0124,QC,2017,April,15
0125,ON,2017,April,5
0211,QC,2017,April,10
0213,BC,2017,April,5
0213,ON,2017,April,15
0213,QC,2017,April,15
0601,ON,2017,April,5
0621,AB,2017,April,20
0621,BC,2017,April,20
0621,MB,2017,April,10
0621,ON,2017,April,10
0621,QC,2017,April,15
0631,AB,2017,April,15
0631,BC,2017,April,20
0631,MB,2017,April,5
0631,ON,2017,April,10
0714,ON,2017,April,5
0911,ON,2017,April,5
0911,QC,2017,April,5
1111,AB,2017,April,5
1111,BC,2017,April,20
1111,MB,2017,April,10
1111,NS,2017,April,5
1111,ON,2017,April,35
1111,QC,2017,April,65
1112,ON,2017,April,25
1112,QC,2017,April,10
1113,ON,2017,April,5
1114,AB,2017,April,5
1114,ON,2017,April,15
1114,QC,2017,April,15
1121,QC,2017,April,10
1122,BC,2017,April,5
1122,ON,2017,April,30
1122,QC,2017,April,55
1123,BC,2017,April,25
1123,ON,2017,April,30
1123,QC,2017,April,10
1212,ON,2017,April,10
1215,AB,2017,April,5
1215,BC,2017,April,5
1215,ON,2017,April,15
1221,BC,2017,April,10
1221,MB,2017,April,15
1221,ON,2017,April,15
1221,QC,2017,April,25
1222,QC,2017,April,5
1223,BC,2017,April,5
1223,ON,2017,April,10
1225,BC,2017,April,5
1225,ON,2017,April,5
1225,SK,2017,April,5
1226,ON,2017,April,5
1241,AB,2017,April,15
1241,BC,2017,April,25
1241,MB,2017,April,5
1241,ON,2017,April,15
1241,QC,2017,April,10
1311,AB,2017,April,10
1311,BC,2017,April,10
1311,ON,2017,April,20
1311,QC,2017,April,10
1411,MB,2017,April,10
1431,MB,2017,April,5
1431,QC,2017,April,10
2112,QC,2017,April,10
2121,ON,2017,April,15
2121,QC,2017,April,10
2131,AB,2017,April,5
2131,BC,2017,April,5
2131,ON,2017,April,15
2131,QC,2017,April,40
2132,AB,2017,April,10
2132,NS,2017,April,5
2132,ON,2017,April,15
2132,QC,2017,April,25
2133,AB,2017,April,10
2133,BC,2017,April,5
2133,MB,2017,April,5
2133,ON,2017,April,15
2133,QC,2017,April,20
2134,QC,2017,April,5
2141,ON,2017,April,5
2141,QC,2017,April,15
2143,BC,2017,April,5
2146,QC,2017,April,5
2147,ON,2017,April,10
2147,QC,2017,April,40
2148,QC,2017,April,5
2161,ON,2017,April,15
2161,QC,2017,April,5
2171,AB,2017,April,10
2171,BC,2017,April,15
2171,MB,2017,April,5
2171,NS,2017,April,5
2171,ON,2017,April,75
2171,PE,2017,April,5
2171,QC,2017,April,40
2171,SK,2017,April,20
2172,BC,2017,April,5
2172,ON,2017,April,25
2172,QC,2017,April,10
2173,BC,2017,April,30
2173,MB,2017,April,5
2173,NS,2017,April,10
2173,ON,2017,April,55
2173,QC,2017,April,20
2174,BC,2017,April,15
2174,MB,2017,April,5
2174,NB,2017,April,5
2174,ON,2017,April,60
2174,QC,2017,April,30
2174,SK,2017,April,15
2175,BC,2017,April,10
2175,ON,2017,April,15
2175,QC,2017,April,5
2211,AB,2017,April,10
2211,ON,2017,April,10
2211,SK,2017,April,5
2221,SK,2017,April,5
2232,ON,2017,April,5
2232,QC,2017,April,5
2232,SK,2017,April,5
2241,AB,2017,April,10
2241,ON,2017,April,15
2242,ON,2017,April,5
2253,AB,2017,April,5
2253,ON,2017,April,10
2253,QC,2017,April,5
2263,ON,2017,April,5
2281,MB,2017,April,5
2281,NB,2017,April,5
2281,ON,2017,April,10
2281,QC,2017,April,30
2281,SK,2017,April,10
2282,AB,2017,April,10
2282,BC,2017,April,5
2282,ON,2017,April,30
2282,PE,2017,April,5
2282,QC,2017,April,10
2283,ON,2017,April,10
3012,MB,2017,April,15
3012,ON,2017,April,5
3012,QC,2017,April,205
3111,ON,2017,April,15
3111,QC,2017,April,5
3112,AB,2017,April,10
3112,BC,2017,April,10
3112,ON,2017,April,15
3112,QC,2017,April,5
3131,AB,2017,April,5
3131,QC,2017,April,5
3132,ON,2017,April,5
3142,BC,2017,April,5
3142,ON,2017,April,10
3233,ON,2017,April,10
3237,AB,2017,April,5
3413,AB,2017,April,5
4011,AB,2017,April,10
4011,BC,2017,April,10
4011,ON,2017,April,35
4011,QC,2017,April,10
4011,SK,2017,April,10
4012,BC,2017,April,5
4012,ON,2017,April,5
4021,QC,2017,April,15
4031,BC,2017,April,5
4031,MB,2017,April,5
4031,QC,2017,April,15
4032,QC,2017,April,5
4112,QC,2017,April,5
4162,ON,2017,April,5
4163,ON,2017,April,10
4163,QC,2017,April,15
4164,QC,2017,April,5
4169,QC,2017,April,5
4212,AB,2017,April,10
4212,BC,2017,April,5
4214,BC,2017,April,10
4214,ON,2017,April,10
4214,QC,2017,April,5
4214,SK,2017,April,5
4411,AB,2017,April,25
4411,BC,2017,April,15
4411,ON,2017,April,25
4412,AB,2017,April,10
5125,QC,2017,April,15
5241,BC,2017,April,30
5241,ON,2017,April,10
5241,QC,2017,April,25
6211,AB,2017,April,45
6211,BC,2017,April,15
6211,ON,2017,April,5
6211,QC,2017,April,10
6211,SK,2017,April,5
6221,AB,2017,April,10
6221,MB,2017,April,5
6221,ON,2017,April,15
6221,QC,2017,April,10
6221,SK,2017,April,5
6222,ON,2017,April,5
